Genre,Movies,TotalBoxOffice,Tickets,Share
Adventure,1138,65547651673.00,"9,329,378,488",26.84%
Action,1141,52841085875.00,"7,293,604,581",21.64%
Drama,5562,35868326563.00,"5,448,415,784",14.69%
Comedy,2456,34115469974.00,"5,201,028,664",13.97%
Thriller/Suspense,1249,20081277279.00,"2,919,856,638",8.22%
Horror,752,13853750316.00,"1,973,606,071",5.67%
Romantic Comedy,646,10785321901.00,"1,734,403,730",4.42%
Musical,205,4336668893.00,"573,201,366",1.78%
Documentary,2465,2526247727.00,"376,864,759",1.03%
Black Comedy,220,2244064232.00,"328,610,541",0.92%
Western,95,1292636021.00,"187,668,543",0.53%
Concert/Performance,84,420274053.00,"56,637,807",0.17%
Multiple Genres,46,64074339.00,"8,265,584",0.03%
Reality,5,58365147.00,"6,370,805",0.02%
Educational,1,260.00,28,0.00%
